"jobtitle","company","min_salary","max_salary","average_salary","pdate","tag_list","description","industry","companysize","comaddress","position1","education","workexperience","worklanguage","age","is_end"
"数据分析工程师--武汉","普迪飞",0,0,0,"2017-10-18","年底双薪,带薪年假,定期体检,年度旅游,节日礼物,领导好,扁平管理,管理规范,技能培训,岗位晋升,团队聚餐,子女福利,购房津贴,生育补贴,五险一金,","主要目的：为客户顾问小组提供准确，全面和及时的标准数据分析以解决良率及技术问题。推动公司在数据分析和方法论专长领域的进一步发展。 工作流程和主要职责: •	定位并准备待分析数据。 (测试芯片数据来自于 PDF 的电子测试器，又称 pdFasTest 。) •	检查作业传票档案上数据待析日期。与顾问小组协调员协调，跟踪数据待析以开始及时分析。 •	定位适当的分析报告模板以进行分析。 •	与数据整合工程师协调，找出并解决数据下载的问题。 •	执行标准分析报表。 •	监控分析并与整合工程师协调，共同解决分析运行中的可能出现的任何问题。 •	检阅分析结果和质量。呈递分析结果给顾问小组协调员及经理。 •	与工程服务工程师一起解决在分析中遇到的有关数据方面的问题。 上报其他分析中遇到的问题给高级数据分析工程师。 •	通报客户分析进展情况。 •	管理并按时完成一组作业。若无法于期限内完成，上报经理。 •	参与定期操作，质量评估和（分）公司会议。 职位说明: PDF是半导体业的“医生”，帮助客户发现、分析并解决设计、生产中的疑难杂症，主要集中在生产制造良率和产品性能提高相关的分析研究。数据分析最核心的价值就是发现问题，并对之进行科学分析，一如医生的诊断。提供确切、详尽的诊断分析报告，以及相应的改善建议，是数据分析的职责，为客户发现问题并找出解决方案，是最终的目标。判断数据的完整、正确性，并寻求相关部门作出相应调整也是责任之一，一如拿到X射线报告的医生，首先需要判断这份报告本身的准确性。世界主要先进半导体厂商如：IBM、SONY、Charter、Toshiba等都是公司客户，公司拥有海量实际案例以供参考研究。补充并横向分析各类案例及其解决方案也是任务之一，公司有大量先进分析工具（设计、测试到分析等多个领域），掌握如何使用这些先进工具就像X射线、B超等对医生一样重要。同时，公司一直致力于不断改善和创新，对于这些工具问题的反馈、建议，这也成为数据分析工程师的责任之一。好的诊断不仅在于发现问题，更在于让客户接受并做出相应改进。同时，好的诊断档案对于他人也是良好借鉴，把问题和根源进行清晰、准确的描述并归档，也是数据分析工程师的重要责任。领域知识的复杂多样、爆炸式更新、关联领域的广泛性，快速学习吸收新知识，能根据已有知识背景和新的分析需求，提出建设性意见甚至创造新的分析方法、工具。 职位要求: 学历：微电子、电子工程、材料科学 、物理或相关领域的学士，硕士或博士。 语言：通过大学英语四、六级考试。口语及书面英语能满足沟通工作交流及解决技术问题的要求。能以英语撰写报告、文件和电子邮件。能有效地用英语面对面或用电话沟通，流利者更佳。 品格与能力： •	优秀的顾客服务态度。注重符合顾客的需求。 •	优秀的解决技术问题的技能。 •	自动自发，学习快速。 •	努力不懈，主动解决问题。 •	团队精神。能与办公室和远程同事顺利合作。 •	沟通技巧。能清晰简明地解释并沟通复杂的概念。 •	彻底而井然有序的工作风格。 •	非常注意细节。注重准确性。 •	广泛了解电子，物理和材料科学。更佳: 了解半导体装置物理学，过程技术，和/或 VLSI 设计原理 (CMOS, bipolar, bi-CMOS, DRAM) 。 •	非常了解实验设计和工程统计学。更佳: 了解统计软件工具 (例如 S plus, SAS, RS1, Matlab). •	优秀的计算机能力 (UNIX and PC platform)。更佳: 程序语言能力 (例如 C / C++, Java) 期待您的进一步了解，欢迎您的加入。","电子","100-499人","上海市杨浦区四平路1779号4楼","武汉","本科及以上","经验不限","英语 + 普通话","年龄不限",0
"数据分析专员","山东元邦",4,7,5.5,"2017-10-18","五险一金,绩效奖金,年度旅游,节日礼物,股票期权,岗位晋升,技能培训,全勤奖,优秀员工奖,定期体检,子女福利,发展空间大,","岗位职责： 1、产品入资、赎回数据统计 2、月度、季度、年度数据汇总分析 3、客户备案管理，建立备案档案，规范备案流程 4、市场营销中心月度、季度、半年、年度方案的实施 任职要求： 1、本科及本科以上学历，市场营销、会计、管理、金融、经济等相关专业 2、2年以上相关工作经验，精通EXCEL、WORD、PPT这三个基础工具，具有本岗位的服务意识及强硬的专业知识，有较强数据分析整理能力，保密意识强。 3、敬业、职业道德高尚、有团队精神和工作主动性强。","投资","100-499人","济南市历下区经十路与玉函路交叉口鲁商广场B座8层","济南","本科及以上","3年以上经验","普通话","年龄不限",0
"数据分析工程师","海云数据",0,0,0,"2017-10-17","带薪年假,弹性工作,五险一金,休闲餐点,上市计划,一流团队,广阔平台,地铁旁,","岗位职责： 1. 大数据机器学习平台的研发设计； 2. 负责机器学习算法的研发和应用； 任职要求： 1.  计算机相关专业，本科及以上学历； 2. 2+年的大数据系统或者后端开发经验，或者相关项目经验； 3. 熟悉常见的数据结构和算法，熟练掌握Java，Scala中的一门编程语言； 4. 掌握分布式系统原理，hadoop相关技术，熟悉Spark等； 5. 具备一定的系统设计能力，和底层优化能力； 6. 良好的沟通和团队协作能力； 7. 对机器学习有基本的理解，熟悉常见的机器学习算法；","互联网·电商","100-499人","北京市海淀区中关村东路1号院清华科技园科技大厦C座22层","北京","本科及以上","2年以上经验","语言不限","年龄不限",0
"大数据分析","特锐德",12,24,18,"2017-10-18","五险一金,餐饮补贴,专业培训,年终奖金,定期体检,季度福利,节日福利,专项福利,持股计划,朝阳的行业前景,良好的发展平台,人性化的管理体制,广阔的晋升空间,多元化的培训机会,高竞争力薪酬福利,交通补助,","岗位职责： 1.带领团队进行大数据的清洗、组织和管理工作； 2.负责提供解决Hadoop平台开发与运维问题； 3.利用常用算法和模型进行大数据挖掘，对公司产品海量数据、用户行为等进行深度挖掘和标注； 4.把握Hadoop技术研究的大方向，跟进社区及主要商业版本的技术路线。 岗位要求： 1.本科及以上学历，计算机、数学、统计学相关专业优先，3年以上工作经验； 2.必备语言R,SAS,Python,Matlab,SQL,HivePig,Spark； 3.掌握分布式计算、预测模型、故事讲述和可视化、数学\\统计、机器学习等技能； 4.掌握一种以上数据挖掘工具经验，具有互联网产品挖掘经验者优先； 5.有很好的沟通能力和团队精神，有较强的学习能力，主动钻研新技术和新知识精神。 福利待遇： 1.入职即签订正式劳动合同，缴纳五险一金 ； 2.公司为员工提供系统的入职培训、实习培训、岗前培训、在岗培训、外训、为表现优秀员工提供在职深造的机会； 3.根据职级岗位不同，每月设有金额不同的餐补、通讯补贴、交通补贴； 4.中秋节礼品、春节礼品、妇女节礼品、生日礼品、结婚礼品、季度礼品、公司周年庆礼品等礼品福利； 5.中秋节、春节节日过节费，每月亲情孝心工资； 6.“阶梯晋升”和“破格提拔”相结合，根据员工综合工作表现，分阶段给予适当调薪或晋升加薪； 7.给予优秀员工公费带薪出国旅游的机会及丰厚的物质奖励（发放奖金、电动汽车）； 8.年底根据入职时间和个人工作表现发放年终奖金； 9.每年享受带薪年休假； 10.年度优秀员工获得相应的物质和精神奖励； 11.公司不定期组织各种丰富多彩文娱活动； 12.为公司符合条件的特困员工发放过节补助； 13.为外地暂无固定居住地点的员工提供员工宿舍。 朝阳的行业前景 + 良好的发展平台 + 科学人性化的管理体制 + 广阔的晋升空间 + 多元化的培训机会 + 高竞争力的薪酬福利","互联网·电商","1000-2000人","颖秀路2781号鑫盛大厦","济南","本科及以上","3年以上经验","语言不限","年龄不限",0
"Data Specialist 数据分析专员","捷信中国",7,10,8.5,"2017-10-11","五险一金,节日礼物,绩效奖金,年底双薪,定期体检,技能培训,岗位晋升,","Job Description : Name of the position	Data Specialist    	Job grade:	E Department/Section	Risk Management Report to	: External Databases Senior Supervisor Location:	Tianjin Key objectives Developing and implementing credit risk management processes, policies, and procedures for consumer finance products in CFC China Duties and responsibilities 1.	Applying advanced analytics, performing data discovery and visualization to support bank-wide decision making. 2.	Driving the collection of new data and reviewing of the existing data sources 3.	Negotiation with external data providers – credit bureaus and data brokers 4.	Designing and developing predictive models for improvement of risk performance. 5.	Working closely with other risk management units on application of insights drawn from analyses. 6.	Participating in the development of business requirements for IT changes required for implementation of predictive models. 7.	Building monitoring and reporting processes embedded as part of this framework. Requirements Education/Experience: 1.	University graduate, preferably with major in Economics, Mathematics, Statistics, Computer or Information Science 2.	Experience in financial risk management & “Western experience” are a big advantage Required skills 1.	Native Chinese, fluent in English (oral and written) 2.	Experience in development and maintenance of predictive models 3.	Expert knowledge of SQL/Oracle, data-mining/statistical software – SAS, SPSS, Matlab, R; knowledge of text-mining is a plus. 4.	Experience with online data collection and usage of third-party API 5.	Knowledge of Java or at least one other programming language – Perl, Python, PHP, Bash etc.. 6.	Excellent communication, presentation, and negotiation skills 7.	Good analytical thinking and project management 8.	Open-minded and persistent","投资","10000人以上","和平区赤峰道国际金融中心31-33层","天津","本科及以上","1年以上经验","英语 + 英语六级","25-50岁",0
"数据分析专员","Wealth Corportation",10,18,14,"2017-10-18","年底双薪,绩效奖金,带薪年假,交通补助,年度旅游,节日礼物,免费班车,领导好,管理规范,技能培训,岗位晋升,团队聚餐,发展空间大,全勤奖,","职位描述: 1. 负责运营业务数据分析，进行数据挖掘； 2. 根据运营数据分析的结果，提出改进建议； 3. 追踪监控运营数据动态，及时反映问题； 4. 带领菲籍数据源完成各项数据分析。 任职资格： 1. 能够熟练使用Excel表格，并且熟悉各项功能和公式； 2. 具有较高的数字敏感度和逻辑思维能力； 3. 本科以上学历，数学专业或者统计学专业优先； 4. 拥有互联网行业数据分析或挖掘及数据统计等相关工作经验者优先； 5. 优秀的沟通协调能力和开拓精神， 高度的责任心和团队合作精神； 6. 工作认真细致，具有优秀的书面撰写报告的能力。","互联网·电商","100-499人","马尼拉","菲律宾","统招本科","2年以上经验","语言不限","年龄不限",0
"数据分析经理","善林(上海)金融",0,0,0,"2017-10-11","绩效奖金,带薪年假,扁平管理,节日礼物,年度旅游,管理规范,五险一金,团队聚餐,公司规模大,休闲餐点,领导好,通讯津贴,发展空间大,岗位晋升,","1.能够从业务和生意的维度，客观分析数据，分析客户行为、产品销售情况、活动效果等数据，从数据中分析潜在问题、需求等，并提出分析方案及合理化建议； 2.对口支持业务部门提供数据分析服务，优化和完善数据分析体系，报表体系、专题分析体系； 3.参与各业务部门的数据分析需求的调研，挖掘分析主题，开展数据分析工作，基于数据分析成果，为管理层和业务部门提供商业战略策略分析和业务优化建议； 4.根据需要，对大数据、数据分析、excel表格使用技巧等进行技术培训和分享； 5.有丰富的管理经验 岗位需求： 1.熟悉相关数据分析和挖掘工具； 2.善于沟通和逻辑表达，良好的团队合作意识和高度的责任心； 3.有客户行为分析、经管数据分析经验者优先考虑； 4.本科及以上学历","投资","10000人以上","上海市浦东新区申江路5005号星创科技广场1号楼7F","上海","本科及以上","5年以上经验","语言不限","年龄不限",0
"大数据课程研发与数据分析","成都数聚城堡科技有限公司",5,8,6.5,"2017-10-18","节日礼物,午餐补助,岗位晋升,带薪年假,","岗位职责： (1)	研究并制作与数据科学相关的课程大纲； (2)	研制与课程配套的课后习题并与老师沟通确认； (3)	建立用户画像，帮助优化课程设计； (4)	竞赛题目的制定与评估测试； (5)	其它相关事务。 岗位需求： (1)	熟悉与大数据相关的知识，比如数据库、数理统计、数据挖掘、机器学习、数据可视化等； (2)	掌握至少一门编程语言，Python、R更佳； (3)	有良好的沟通能力和执行能力。 (4)	一年以上工作经验","互联网·电商","1-49人","大源国际中心 A3栋1401","成都","统招本科","1年以上经验","语言不限","年龄不限",0
"数据分析岗","广发期货有限公司",0,0,0,"2017-10-11","年底双薪,绩效奖金,带薪年假,通讯津贴,定期体检,五险一金,","岗位职责： 1、负责业务相关数据的统计与特征挖掘，建立并完善各项指标分析体系，定期出具业务统计与分析报告； 2、负责搜集行业相关信息与业务数据，匹配公司业务特征，形成调研或分析报告； 3、负责制定产品销售激励方案，并进行激励核算； 4、提供公司内外其他有关数据的支持服务。 任职要求： 1、全日制本科（含）以上学历，应用数学、统计、计算机、数据科学等相关专业； 2、熟练掌握Excel数据处理方法和技巧，熟悉SQL语言； 3、熟悉常用统计分析方法，熟练运用Matlab/R或C++/Java等编程语言进行大数据的统计与分析； 4、具备良好的文字功底，具备较强的数据搜集与处理，以及逻辑分析能力； 5、品行端正，做事认真细致，吃苦耐劳，具有较强的服务意识与团队合作精神；具统计分析相关工作经验者，以及具考核管理与财务知识者优先考虑。","投资","100-499人","广东省广州市 天河区体育西路57号红盾大厦9/11/14/15楼","广州","统招本科","经验不限","语言不限","年龄不限",0
"数据分析","安徽品绿网络科技有限公司",10,12,11,"2017-10-18","年底双薪,绩效奖金,带薪年假,定期体检,技能培训,管理规范,五险一金,","岗位职责： 1、每日全平台人工后台操作记录、备用账户额度记录； 2、新用户推广数据统计、后续贡献数据整理分析、成本核算； 3、各类数据整理汇总和分析处理工作，为系统量化控制提供依据，推荐模型； 4、对数据库的结构进行更改、跟踪、优化等操作； 5、有会计证，会编制会计报表； 任职资格： 1、本科以上学历，统计学专业优先，了解数理统计、数据分析、数据挖掘，熟知常用算法； 2、精通MS offices，熟练使用R、Tableau、SPSS等软件，熟悉sql sever数据库的使用；","互联网·电商","50-99人","政务区天鹅湖万达1号写字楼","合肥","本科及以上","5年以上经验","语言不限","年龄不限",0
